what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.format",1333779026777
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1333779027422
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1333779029074
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1333779030991
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1333779030991
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333779036365
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333779037092
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1333779037097
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333779038784
error,log,,,"null",1333779039636
error,log,,,"null",1333779039636
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333779040729
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333779049705
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333779053957
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1333779054003
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1333779054031
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.views.showView",1333779054031
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.views.showView",1333779054031
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1333779061863
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333779065554
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333779120215
started,bundle,org.eclipse.jst.jsf.facelet.core,1.0.100.v201104191527,"org.eclipse.jst.jsf.facelet.core",1333779122754
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1333779130174
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1333779130214
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1333779134515
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333779138430
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333779144412
